koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_duration,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
0,0,0,0,4.0491,950.4,1025.0,51.5,2.0,q1_q17_dr25_tce,6214.0,4.442,1.076,0,1,0
0,0,0,0,2.7245,1123.5,751.0,47.6,1.0,q1_q17_dr25_tce,5354.0,4.587,0.788,0,1,0
0,0,0,0,5.039,931.3,390.0,20.1,2.0,q1_q17_dr25_tce,5354.0,4.587,0.788,0,1,0
0,0,0,0,5.1497,6105.6,753.0,277.2,1.0,q1_q17_dr25_tce,5795.0,4.508,0.919,0,1,0
0,1,0,0,1.8868,1976.3,1920.0,112.6,1.0,q1_q17_dr25_tce,6017.0,4.22,1.339,0,0,1
0,1,1,0,3.836,871.7,876.0,38.2,1.0,q1_q17_dr25_tce,5927.0,4.409,1.06,0,0,1
0,0,0,0,2.4282,382.1,1332.0,38.9,1.0,q1_q17_dr25_tce,5519.0,4.35,1.062,0,1,0
0,0,0,0,2.0844,1304.0,812.0,50.8,1.0,q1_q17_dr25_tce,5653.0,4.656,0.679,0,1,0
0,1,1,1,2.0792,10967.0,1836.0,299.7,1.0,q1_q17_dr25_tce,5255.0,4.678,0.636,0,0,1
0,0,0,0,3.5089,5741.1,812.0,183.6,1.0,q1_q17_dr25_tce,5988.0,4.541,0.836,1,0,0
0,0,0,0,3.3203,1494.7,361.0,35.2,2.0,q1_q17_dr25_tce,3950.0,4.754,0.493,0,1,0
0,0,0,0,4.758,1394.7,273.0,26.0,3.0,q1_q17_dr25_tce,3950.0,4.754,0.493,0,1,0
0,0,0,0,5.351,104.0,649.0,17.1,4.0,q1_q17_dr25_tce,5854.0,4.406,1.012,0,1,0
0,0,0,0,2.186,520.8,494.0,15.9,4.0,q1_q17_dr25_tce,3950.0,4.754,0.493,0,1,0
0,0,0,0,2.3111,8544.8,1005.0,370.8,1.0,q1_q17_dr25_tce,5557.0,4.592,0.774,0,1,0
0,0,0,0,5.228,986.8,536.0,32.1,1.0,q1_q17_dr25_tce,5395.0,4.615,0.734,0,1,0
0,0,0,0,2.38963,7969.0,1579.0,799.7,1.0,q1_q17_dr25_tce,5539.0,4.322,1.106,0,1,0
0,0,0,0,2.0038,21725.0,643.0,340.5,1.0,q1_q17_dr25_tce,5710.0,4.492,0.905,1,0,0
1,0,1,0,6.222,322.6,838.0,14.2,2.0,q1_q17_dr25_tce,5657.0,4.567,0.824,0,0,1
0,0,0,0,3.1449,1019.8,757.0,53.9,1.0,q1_q17_dr25_tce,5349.0,4.526,0.82,1,0,0
0,1,0,0,7.7915,16918.0,843.0,636.8,1.0,q1_q17_dr25_tce,5627.0,4.359,1.024,0,0,1
0,0,0,0,8.9302,10566.0,308.0,138.8,2.0,q1_q17_dr25_tce,5485.0,4.556,0.867,0,1,0
0,0,0,0,3.262,55.8,1021.0,14.4,3.0,q1_q17_dr25_tce,5854.0,4.406,1.012,0,1,0
0,0,0,0,6.6188,20280.0,411.0,347.2,1.0,q1_q17_dr25_tce,5485.0,4.556,0.867,0,1,0
0,0,1,1,2.1541,816.1,1470.0,38.8,1.0,q1_q17_dr25_tce,5663.0,4.53,0.915,0,0,1
0,0,1,1,5.414,589.2,918.0,48.5,1.0,q1_q17_dr25_tce,4667.0,4.578,0.731,0,0,1
0,0,0,0,1.9604,15044.0,1539.0,1009.3,1.0,q1_q17_dr25_tce,5934.0,4.491,0.893,0,1,0
0,0,0,0,2.335,1008.7,886.0,70.6,1.0,q1_q17_dr25_tce,5170.0,4.574,0.807,1,0,0
0,0,0,0,4.0595,2105.5,518.0,78.5,1.0,q1_q17_dr25_tce,4905.0,4.544,0.761,0,1,0
0,0,0,0,1.9104,1632.6,656.0,71.6,1.0,q1_q17_dr25_tce,3950.0,4.754,0.493,0,1,0
0,1,1,0,2.0067,1339.2,1326.0,64.9,1.0,q1_q17_dr25_tce,5926.0,4.506,0.939,0,0,1
0,0,0,0,4.4056,893.6,701.0,46.1,1.0,q1_q17_dr25_tce,5775.0,4.405,1.053,0,1,0
0,0,0,0,4.1654,140.7,1262.0,50.6,3.0,q1_q17_dr25_tce,5847.0,4.191,1.402,0,1,0
0,0,0,0,4.793,418.0,870.0,28.5,3.0,q1_q17_dr25_tce,5775.0,4.405,1.053,0,1,0
0,0,0,0,5.794,993.0,550.0,39.7,2.0,q1_q17_dr25_tce,5775.0,4.405,1.053,0,1,0
0,0,0,0,2.59959,22335.0,975.0,1996.7,1.0,q1_q17_dr25_tce,5150.0,4.572,0.793,0,1,0
0,0,0,0,2.9315,4523.6,511.0,76.8,1.0,q1_q17_dr25_tce,5509.0,4.482,0.871,1,0,0
0,0,0,0,3.5957,2472.1,964.0,113.2,1.0,q1_q17_dr25_tce,5973.0,4.439,1.085,0,1,0
0,0,0,0,3.827,1182.3,329.0,27.5,1.0,q1_q17_dr25_tce,3747.0,4.728,0.524,0,1,0
0,0,0,0,2.2736,1558.0,460.0,56.4,1.0,q1_q17_dr25_tce,3692.0,4.753,0.517,0,1,0
0,1,0,0,4.34617,82872.0,500.0,1300.0,1.0,q1_q17_dr25_tce,5575.0,4.521,0.932,0,0,1
0,1,0,0,35.512,2450.6,1155.0,296.9,1.0,q1_q17_dr25_tce,6463.0,4.5,0.826,0,0,1
0,1,1,1,5.0642,616.0,1031.0,138.2,1.0,q1_q17_dr25_tce,5514.0,4.569,0.826,0,0,1
0,0,0,0,6.0995,430.2,874.0,107.4,1.0,q1_q17_dr25_tce,5847.0,4.191,1.402,0,1,0
0,0,0,0,4.3791,1175.4,639.0,37.8,1.0,q1_q17_dr25_tce,5601.0,4.41,0.999,0,1,0
0,1,0,0,3.3148,15148.0,814.0,389.0,1.0,q1_q17_dr25_tce,5690.0,4.588,0.776,0,0,1
0,0,0,0,3.3169,15337.0,600.0,166.0,1.0,q1_q17_dr25_tce,4986.0,4.496,0.833,0,1,0
0,0,0,0,3.161,887.9,687.0,39.3,1.0,q1_q17_dr25_tce,4861.0,4.574,0.732,0,1,0
0,0,0,0,2.506,417.5,823.0,21.3,2.0,q1_q17_dr25_tce,4861.0,4.574,0.732,0,1,0
0,0,0,0,2.9721,780.7,914.0,70.8,1.0,q1_q17_dr25_tce,5776.0,4.554,0.849,0,1,0
0,0,1,0,3.065,962.4,1047.0,50.3,1.0,q1_q17_dr25_tce,6108.0,4.471,0.997,0,0,1
0,0,1,1,4.7211,1177.9,1261.0,110.2,1.0,q1_q17_dr25_tce,5764.0,4.548,0.863,0,0,1
0,0,0,0,1.8411,10859.0,1021.0,568.2,1.0,q1_q17_dr25_tce,5035.0,4.519,0.791,0,1,0
0,0,0,0,3.897,3081.4,610.0,86.6,2.0,q1_q17_dr25_tce,5251.0,4.581,0.817,0,1,0
0,0,0,0,4.377,50.0,1074.0,14.7,4.0,q1_q17_dr25_tce,5847.0,4.191,1.402,0,1,0
0,0,0,0,5.176,5073.8,481.0,117.2,1.0,q1_q17_dr25_tce,5251.0,4.581,0.817,0,1,0
0,1,0,0,3.831,16228.0,1104.0,323.4,1.0,q1_q17_dr25_tce,5810.0,4.526,0.898,0,0,1
0,1,0,0,3.49949,44791.0,796.0,1671.1,1.0,q1_q17_dr25_tce,5670.0,4.523,0.821,0,0,1
0,1,0,0,2.1862,2453.9,1133.0,117.2,1.0,q1_q17_dr25_tce,6046.0,4.539,0.869,0,0,1
0,0,0,0,8.2183,3341.8,731.0,266.3,1.0,q1_q17_dr25_tce,5739.0,4.191,1.384,0,1,0
0,0,0,0,6.7372,504.6,888.0,49.1,2.0,q1_q17_dr25_tce,5739.0,4.191,1.384,0,1,0
0,0,0,0,4.9843,285.0,1146.0,35.1,3.0,q1_q17_dr25_tce,5739.0,4.191,1.384,0,1,0
0,0,0,0,3.388,115.9,1642.0,19.9,5.0,q1_q17_dr25_tce,5739.0,4.191,1.384,0,1,0
0,0,0,0,3.5797,120.3,1458.0,50.4,2.0,q1_q17_dr25_tce,5847.0,4.191,1.402,0,1,0
0,0,0,0,7.159,370.3,568.0,19.4,4.0,q1_q17_dr25_tce,5739.0,4.191,1.384,0,1,0
0,0,0,0,2.9076,1037.3,616.0,48.9,1.0,q1_q17_dr25_tce,4959.0,4.603,0.756,0,1,0
